Code,Authors,Title,Year,Journal,DOI,DocumentType,Decision,Reason,IntegrationType,SpatialScale,MethodType,InteractionDirection,ConnectivityFocus,Notes
P53,Li Z.; Jin A.; Zhuang W.; Li H.,"Human–Nature Relationships in Country Parks at the Urban–Rural Fringe: A Case Study of the Huitian Region, Beijing",2025,Land,10.3390/land14051086,Article,accepted,"This paper integrates ecological connectivity with human factors, including road network density, to evaluate nature suitability in urban-rural fringe areas. It uses least-cost corridor analysis for connectivity and road network density for construction suitability.",analytical,regional,modeling,bidirectional,yes,"Road network density is used as a factor in assessing construction suitability, which in turn influences ecological connectivity. The study also considers transport accessibility for recreational demand."
P54,Pomezanski D.; Zietara M.,A Tool for Modelling Anuran Landscape Connectivity Through Road Crossing Survival,2025,Wetlands,10.1007/s13157-025-01924-w,Article,accepted,"The paper develops and tests a model (Road Crossing Survival - RCS) specifically designed to incorporate the impact of road mortality on anuran landscape connectivity, moving beyond traditional resistance models.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,"This paper directly models the effect of road crossings on species connectivity, a specific type of strong coupling where road mortality is integrated into connectivity calculations."
P55,Yemshanov D.; Hart T.; Cameron J.; Liu N.; Koch F.H.; Leblond M.,Comparing landscape partitioning approaches to protect wildlife habitat in managed forests,2024,Canadian Journal of Forest Research,10.1139/cjfr-2022-0272,Article,accepted,"This paper models the integration of harvest scheduling, access road construction, and caribou protection. It formulates caribou habitat protection and road construction as network flow problems.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,"The study explicitly models access road construction alongside harvest scheduling and caribou protection, treating them as integrated sub-problems within an optimization model."
P56,Robb B.S.; Merkle J.A.; Sawyer H.; Beck J.L.; Kauffman M.J.,Nowhere to run: semi-permeable barriers affect pronghorn space use,2022,Journal of Wildlife Management,10.1002/jwmg.22212,Article,accepted,"The study quantifies the likelihood of pronghorn crossing different anthropogenic barriers, including roads, and assesses how these barriers influence space use. It directly links barrier permeability to habitat access.",analytical,regional,empirical,transport_to_ecosystem,yes,This is an empirical study quantifying the barrier effect of roads and other structures on animal movement and space use.
P57,Mendgen P.; Dejid N.; Olson K.; Buuveibaatar B.; Calabrese J.M.; Chimeddorj B.; Dalannast M.; Fagan W.F.; Leimgruber P.; Müller T.,Nomadic ungulate movements under threat: Declining mobility of Mongolian gazelles in the Eastern Steppe of Mongolia,2023,Biological Conservation,10.1016/j.biocon.2023.110271,Article,accepted,"The paper investigates the impact of increasing vehicle numbers and proximity to roads on the long-distance movements of Mongolian gazelles, suggesting that traffic volume creates semipermeable barriers.",analytical,supraregional,empirical,transport_to_ecosystem,yes,"This empirical study focuses on how increasing traffic volume on roads, rather than the physical presence of roads themselves, acts as a semipermeable barrier affecting animal mobility."
P58,Cerreta A.L.; McCarthy K.P.; Fowles G.,Habitat suitability and landscape connectivity for an expanding population of bobcats,2023,Landscape Ecology,10.1007/s10980-023-01639-5,Article,accepted,"The study evaluates habitat suitability and landscape connectivity for bobcats in an urbanizing landscape, identifying roads and culverts as bottlenecks and barriers to movement. It uses circuit theory and least-cost path analyses.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,"The paper models connectivity and explicitly considers roads and culverts as barriers, with modifications to culverts being modeled to improve connectivity. This represents a strong coupling of road infrastructure into the connectivity model."
P59,Arumugam R.; Ravichandran P.; Yeap S.K.; Sharma R.S.K.; Zulkifly S.B.; Yawah D.; Annavi G.,Application of High-Throughput Sequencing (HTS) to Enhance the Well-Being of an Endangered Species (Malayan Tapir): Characterization of Gut Microbiome Using MG-RAST,2023,Methods in Molecular Biology,10.1007/978-1-0716-3072-3_8,Book chapter,rejected,"The paper focuses on the gut microbiome of Malayan tapirs and its relation to their health and conservation, mentioning habitat fragmentation and road accidents as threats but not modeling or analyzing the interaction between roads and connectivity.",unclear,unclear,modeling,unclear,no,"While roads are mentioned as a threat, the core of the paper is about microbiome analysis, not connectivity modeling related to roads."
P60,Cheng L.; Yuan Z.; Zhou J.; Zhao S.; Song X.; Xu A.,Habitat suitability and potential landscape corridors for South China sika deer (Cervus pseudaxis),2025,Mammalia,10.1515/mammalia-2024-0070,Article,accepted,"The study evaluates habitat suitability and identifies potential corridors for South China sika deer, with habitat suitability being influenced by proximity to railways and distance to main roads. Least-cost path analysis is used to identify corridors.",analytical,regional,modeling,transport_to_ecosystem,yes,"The paper uses road proximity as a factor influencing habitat suitability and corridor identification, indicating an analytical approach to integrating transport infrastructure with connectivity."
P61,Baodong Y.; Xiulian M.; Yichuan Z.,"Summer habitat selection by Mrs Hume’s Pheasant (Syrmaticus humiae) on Jinzhong Mountain, northwest Guangxi, China: implications for determining effective conservation actions using radio transmitters",2024,Animal Biology,10.1163/15707563-bja10133,Article,accepted,The paper studies habitat selection of a bird species and explicitly mentions distance to roads as a factor influencing habitat selection. This directly links transport infrastructure to biodiversity connectivity (habitat selection).,analytical,regional,empirical,transport_to_ecosystem,yes,"Focuses on habitat selection, which is a component of connectivity. Road distance is analyzed as a factor."
P62,Roy K.; Pandey R.K.; Athira N.G.; Dutta A.; Mittal D.; Nigam P.; Nath A.; Habib B.,"Long-term trends in human fatalities from human–elephant conflict in Chhattisgarh, India",2025,Scientific Reports,10.1038/s41598-025-13005-3,Article,accepted,The paper investigates human-elephant conflict and explicitly states that conflict incidents decrease with increasing distance from roads. This links transport infrastructure to biodiversity (elephants) and their habitat use/fragmentation.,analytical,regional,empirical,transport_to_ecosystem,yes,"Focuses on conflict, but uses distance to roads as a key factor influencing species distribution and interaction with humans, implying connectivity impacts."
P63,García-Villalba R.; Tomás-Barberán F.A.; Iglesias-Aguirre C.E.; Giménez-Bastida J.A.; González-Sarrías A.; Selma M.V.; Espín J.C.,"Ellagitannins, urolithins, and neuroprotection: Human evidence and the possible link to the gut microbiota",2023,Molecular Aspects of Medicine,10.1016/j.mam.2022.101109,Review,rejected,The paper focuses on the metabolism of ellagitannins and their potential link to neuroprotection via gut microbiota. It does not mention or analyze any aspects of road networks or transport infrastructure.,unclear,unclear,conceptual,unclear,no,No relevance to roads or transport infrastructure.
P64,Wang Y.; Jia S.; Wang Z.; Chen Y.; Mo S.; Sze N.N.,Planning considerations of green corridors for the improvement of biodiversity resilience in suburban areas,2021,Journal of Infrastructure Preservation and Resilience,10.1186/s43065-021-00023-4,Article,accepted,"The paper proposes building green corridors over highways to improve habitat connectivity for pollinator insects, directly addressing the link between linear infrastructure and biodiversity connectivity.",strong_coupling,local,modeling,transport_to_ecosystem,yes,Proposes a direct integration of infrastructure and ecological connectivity (green corridors over highways).
P65,Xu Q.; Jiao J.; Zhang Z.; Li M.; Yan X.; Chen Y.; Liao J.; Yan Z.,Functional connectivity related to road linear erosion at rainfall event scale in an agricultural watershed on the Loess Plateau,2024,Catena,10.1016/j.catena.2024.108170,Article,accepted,"The paper analyzes the functional connectivity related to road linear erosion and its interaction with runoff and sediment transport. While the primary focus is hydrological connectivity, it explicitly studies the interaction between road networks and hydrological processes, which can impact ecosystem connectivity.",analytical,regional,modeling,transport_to_ecosystem,partial,"Focuses on hydrological connectivity influenced by roads, which has indirect implications for ecosystem connectivity."
P66,Barbarossa V.; Schipper A.M.; Andringa I.; van Oorschot M.; Sonter L.J.; Marques A.,The Many Pathways of Mining Impacts on Biodiversity,2026,Conservation Letters,10.1111/con4.70000,Review,accepted,"The paper reviews the biodiversity impacts of mining, including habitat fragmentation and hydrological disruptions caused by mining infrastructure. While not exclusively roads, it covers infrastructure impacts on biodiversity connectivity.",conceptual,supraregional,review,transport_to_ecosystem,yes,Discusses infrastructure impacts (mining) on habitat fragmentation and connectivity.
P67,Guerrero J.C.; Ortíz-Villatoro D.; Russi E.; Montes de Oca L.; Pérez-Miles F.,‘Road tarantulas’ two decades after: a long-term comparison of the geographic distribution models of the tarantulas Acanthoscurria cordubensis and Eupalaestrus weijenberghi in Uruguay,2025,Biological Journal of the Linnean Society,10.1093/biolinnean/blaf125,Article,accepted,"The paper compares the geographic distribution of tarantula species over 24 years, analyzing factors that can explain distributional changes. While not explicitly mentioning roads in the abstract, it is a comparative study of species distribution over time, which could be influenced by infrastructure changes. Given the title and context of other papers, it's plausible roads are a factor.",analytical,regional,empirical,unclear,partial,Comparative study of species distribution over time; potential indirect link to infrastructure impacts on distribution.
P68,Wang S.; Duan Y.; Cao R.; Feng J.; Ge J.; Wang T.,Road disturbance drives a more simplified soundscape in temperate forests revealed by deep learning and acoustics indices,2025,Biological Conservation,10.1016/j.biocon.2025.111115,Article,accepted,"The paper investigates the effects of road disturbance and traffic volume on soundscapes in temperate forests, highlighting habitat fragmentation and anthropogenic noise. It explicitly links road networks to ecological stress and impacts on wildlife and soundscapes.",analytical,regional,modeling,transport_to_ecosystem,yes,"Focuses on soundscape impacts of roads, which is a component of habitat quality and connectivity."
P69,Güneş Tigen M.,"Resistance-Based Spatial Connectivity for Migratory Raptors: A Case Study from Marmara Ereğlisi, Turkey",2025,Architecture Image Studies,10.62754/ais.v6i3.347,Article,accepted,"The paper models migratory raptor flyways using a resistance-based least-cost path framework, incorporating road proximity as a significant anthropogenic pressure and connectivity barrier.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Explicitly models connectivity barriers including road proximity.
P70,Fan X.; Xu W.; Han M.; An L.; Zhang J.; Ouyang Z.,Roadless Areas in China: Dynamic Patterns and Conservation Implications,2025,Earth's Future,10.1029/2025EF006432,Article,accepted,"The paper analyzes the dynamic patterns of roadless areas in China and their implications for biodiversity conservation, highlighting habitat loss and fragmentation caused by transportation networks as significant threats.",analytical,supraregional,modeling,transport_to_ecosystem,yes,Quantifies impact of road networks on habitat availability and fragmentation.
P71,Economou K.N.; Gentleman W.C.; Krumhansl K.A.; DiBacco C.; Reijnders D.; Wang Z.; Lyons D.A.; Lowen B.,Assessing spatial structure in marine populations using network theory: A case study of Atlantic sea scallop (Placopecten magellanicus) connectivity,2024,PLoS ONE,10.1371/journal.pone.0308787,Article,rejected,"The paper focuses on marine population connectivity using network theory and particle tracking, but does not involve road or transport infrastructure.",unclear,unclear,modeling,unclear,yes,"Marine connectivity, not terrestrial infrastructure."
P72,Tari T.; Takács A.; Kovács M.F.,The Design and Location Characteristics of Wildlife Overpasses in Hungary; [Útpálya feletti vadátjárók kialakítási és elhelyezési jellemzői Magyarországon],2023,Journal of Landscape Ecology,10.56617/tl.3608,Article,accepted,"The paper assesses wildlife overpasses (wildlife crossings) in Hungary, examining their design and placement in relation to road networks and habitat fragmentation.",analytical,regional,empirical,transport_to_ecosystem,yes,Focuses on infrastructure designed to mitigate road impacts on connectivity.
P73,Conan A.; Le Brishoual M.; Garnier L.; Fleitz J.; Dehaut N.; Enstipp M.; Jumeau J.; Handrich Y.,Efficacy of permanent wildlife fences as barriers to amphibian movement,2023,Frontiers in Ecology and Evolution,10.3389/fevo.2023.1074072,Article,accepted,"This study tests the efficacy of wildlife fences and underpasses in preventing amphibian movement to mitigate habitat fragmentation and roadkill, directly linking transport infrastructure to ecological connectivity.",analytical,local,empirical,transport_to_ecosystem,yes,Directly assesses the effectiveness of road mitigation structures.
P74,Aso O.P.; Mustari A.H.; Prasetyo L.B.,"Spatial distribution model of anoa, Bubalus spp., in Tanjung Peropa Wildlife Reserve",2025,Biodiversity Data Journal,10.3897/BDJ.13.e153431,Article,accepted,"The paper models the spatial distribution of anoa, considering environmental factors including distance to roads, in a wildlife reserve to support conservation. It assesses how habitat suitability is influenced by proximity to roads.",analytical,regional,modeling,transport_to_ecosystem,partial,Distance to road is a factor in habitat suitability modeling.
P75,Deng Y.; Delgado J.D.; Benedetti Y.; Morelli F.,Quantifying the effects of road-building on bird communities before and after activities,2025,Journal of Environmental Management,10.1016/j.jenvman.2025.126694,Article,accepted,"This study quantifies the impact of road construction activities on bird communities, analyzing changes in composition and biodiversity before, during, and after construction. It directly links road building to ecological impacts.",analytical,local,empirical,transport_to_ecosystem,yes,Assesses impacts of road construction on biodiversity.
P76,Jurečka M.; Danzinger F.; Plutzar C.; Fialová J.; Andrášik R.; Čermák P.,BIRD OCCURRENCE IN SELECTED ECOLOGICAL CORRIDORS IN AUSTRIA: COMPLEMENTARY MONITORING WITH PHOTO TRAPS,2025,Public Recreation and Landscape Protection,10.11118/978-80-7701-025-2/0044,Conference paper,accepted,"The paper investigates bird occurrence in ecological corridors and near wildlife crossings across expressways and motorways in Austria, assessing the effectiveness of mitigation measures for connectivity.",analytical,regional,empirical,transport_to_ecosystem,yes,Focuses on ecological corridors and wildlife crossings related to transport infrastructure.
P77,Vasiliev D.; Hazlett R.; Hutchinson K.L.; Bornmalm L.,Light at the end of the tunnel: Innovative opportunities for saving tropical biodiversity,2024,Ambio,10.1007/s13280-023-01970-w,Article,accepted,"This paper discusses innovative opportunities for saving tropical biodiversity in the context of inevitable road expansion, highlighting the limitations of current mitigation strategies and proposing new approaches like tunnels and covered ways.",conceptual,supraregional,conceptual,transport_to_ecosystem,yes,Discusses mitigation strategies for road impacts on biodiversity.
P78,Liao C.; Jiang Y.; Yang M.; Feng K.; Zhang J.,Investigating the Impact of Urban Parks on Bird Habitats and Diversity Through Remote Sensing: A Case Study of Chengdu City (China),2025,Land,10.3390/land14102086,Article,accepted,"The study examines avian-habitat relationships in urban parks, analyzing landscape connectivity and proposing measures for habitat enhancement, including optimizing green spaces near roads. It links urban development (including roads) to biodiversity.",analytical,local,modeling,transport_to_ecosystem,yes,Considers road green spaces as part of urban ecological infrastructure.
P79,Huang L.; Lu Y.; Wang J.,Linking G2SFCA method and circuit theory to promote spatial equity and landscape connectivity in urban ecological infrastructure,2023,Journal of Environmental Management,10.1016/j.jenvman.2023.119208,Article,accepted,"This paper integrates methods to promote spatial equity and landscape connectivity in urban ecological infrastructure, considering urban ecological corridors that rely on existing road systems. It aims to improve connectivity and access to ecological areas.",strong_coupling,local,modeling,transport_to_ecosystem,yes,Integrates road systems into ecological corridor planning for connectivity.
P80,Sukhontapatipak C.; Saralamba C.; Piyapan P.; Duangta P.; Klubchum T.; Sawangproh W.,"Global wildlife roadkill research: a bibliometric synthesis of historical trends, thematic gaps, and future directions",2025,Urban Ecosystems,10.1007/s11252-025-01747-x,Review,accepted,"This bibliometric review synthesizes global research on wildlife roadkill, analyzing trends, gaps, and future directions in road ecology. It directly addresses the impact of road networks on wildlife.",analytical,multiple,review,transport_to_ecosystem,yes,Comprehensive review of roadkill research.
P81,Wu J.; Zheng M.; Wang Z.,"Integrating MaxEnt and Random Forest Models to Assess Habitat Suitability of Black-Necked Cranes, A Case Study in Nyingchi City",2025,Ecology and Evolution,10.1002/ece3.72058,Article,accepted,"The paper models habitat suitability for a species and identifies distance to roads as a key environmental determinant, indicating a link between transport infrastructure and ecological connectivity.",analytical,regional,modeling,transport_to_ecosystem,partial,Distance to roads is used as a predictor in habitat suitability modeling. Mentions maintaining ecological connectivity under climate change scenarios.
P82,Hardy C.; Messier C.; Valeria O.; Filotas E.,A LANDIS-II extension for simulating forest road networks,2023,Canadian Journal of Forest Research,10.1139/cjfr-2022-0306,Article,accepted,"This paper presents an extension to a landscape simulation model to simulate forest road networks, explicitly mentioning its use for investigating effects on habitat fragmentation.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,The FRS extension is integrated into the LANDIS-II model to simulate road networks and their impact on habitat fragmentation.
P83,Haim A.; Levin N.,QUANTIFYING THE IMPACT OF THE CONSTRUCTION OF A NATIONAL HIGHWAY ON LANDSCAPE CONTINUITY AND FRAGMENTATION OVER TWENTY YEARS – A COMPARISON OF THREE SPATIAL APPROACHES,2024,Journal of Landscape Ecology (Czech Republic),10.2478/jlecol-2024-0011,Article,accepted,"The study quantifies the impact of a national highway on landscape continuity and fragmentation using multiple spatial approaches, directly linking road construction to changes in landscape connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,Compares patch-based metrics and continuous metrics of landscape connectivity in relation to road construction.
P84,Zhao Y.; Wu C.; Leong C.M.; Li J.; Lu W.; Xu Y.; Si X.; Sanders N.J.,"Seasonality, worker caste, and the interaction between island area and habitat type influence the thermal tolerance of ants on fragmented habitat islands",2025,Marine Life Science and Technology,10.1007/s42995-025-00288-8,Article,rejected,"The paper focuses on habitat fragmentation and its effects on ant thermal tolerance, but does not mention or analyze road or transport infrastructure.",unclear,regional,modeling,unclear,yes,"Habitat fragmentation is a key theme, but roads are not mentioned."
P85,Drasher C.E.; Slesar C.; Hawkins-Hilke J.; Gingras G.; Marangelo P.; Landau V.; Hall K.R.; Pearman-Gillman S.B.; Murdoch J.D.,Assessing the connectivity value of roadway structures for terrestrial mammals across the Northern Appalachian forest of Vermont,2025,PLOS ONE,10.1371/journal.pone.0331493,Article,accepted,"This paper models terrestrial mammal movements using circuit theory to assess the connectivity value of roadway structures, directly linking transport infrastructure to wildlife connectivity.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Uses circuit theory to model animal movement and assess the connectivity value of roadway structures.
P86,"Roy A.R.; Ryer K.W.; Rahman M.S.; Young J.H., Jr.; Kline R.J.",Road mitigation structures designed for Texas ocelots: Influence of structural characteristics and environmental factors on non-target wildlife usage,2024,PLoS ONE,10.1371/journal.pone.0304857,Article,accepted,"The study examines the usage of road mitigation structures by wildlife, directly addressing the impact of roads on wildlife movement and connectivity.",analytical,local,empirical,transport_to_ecosystem,yes,"Focuses on wildlife usage of crossing structures, implying a link to connectivity across roads."
P87,Cassola F.M.; Iaria J.; Martini M.; Santi F.; De Silvestri M.; Lattarulo D.; Rossin J.; Carli E.; Angelini P.; Casella L.; Pretto F.; Caricato G.; Miraglia G.; Cazzolla Gatti R.,"Assessing the effects of anthropogenic pressures on biodiversity: a multi-taxonomic approach in Basilicata, Italy",2025,Environmental Science and Pollution Research,10.1007/s11356-025-35996-2,Article,accepted,"The paper assesses the effects of anthropogenic pressures, including roads, on biodiversity and species diversity, noting habitat fragmentation and species mortality as consequences.",analytical,regional,mixed,transport_to_ecosystem,partial,Roads are listed as an anthropogenic pressure impacting biodiversity and causing habitat fragmentation.
P88,Anderson N.; Thomson A.M.,Landscape genetic analysis of population structure and factors influencing gene flow in a southern peripheral population of boreal woodland caribou (Rangifer tarandus caribou),2024,Conservation Genetics,10.1007/s10592-024-01639-1,Article,accepted,"This landscape genetic analysis explicitly includes roads in resistance models to assess their influence on gene flow in woodland caribou, linking transport infrastructure to population connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,Roads are consistently included in resistance models influencing gene flow.
P89,Dispan de Floran L.; Mergey M.; Galan M.; Vitte I.; Jouanillou A.; Le Barh M.; Guinard E.; Lesbarrères D.; Helder R.,Variability in the impact of linear transportation infrastructures on gene flow in French wild ungulate populations,2025,Landscape Ecology,10.1007/s10980-025-02052-w,Article,accepted,"The study investigates the impact of linear transportation infrastructures (highway and canal) on gene flow in three ungulate species, directly assessing their effect on connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,Assesses the effect of LTIs on gene flow in different ungulate species.
P90,Wilson A.B.M.; Naseer M.A.,Traffic Management in Forest and Ecosystem Conservation. A Study on NH 766 Through Bandipore National Park and Proposing a Traffic Management Plan with Alternate Route Consideration,2023,Lecture Notes in Civil Engineering,10.1007/978-981-19-2273-2_46,Conference paper,accepted,"The paper analyzes the impact of a national highway passing through a national park on the ecosystem, considering issues like animal deaths, habitat fragmentation, and loss of forest cover, and proposes traffic management.",analytical,local,mixed,transport_to_ecosystem,partial,"Focuses on the impact of roads on ecosystems within a national park, including fragmentation."
P91,Bista D.; Baxter G.S.; Hudson N.J.; Lama S.T.; Murray P.J.,Effect of disturbances and habitat fragmentation on an arboreal habitat specialist mammal using GPS telemetry: a case of the red panda,2022,Landscape Ecology,10.1007/s10980-021-01357-w,Article,accepted,"The paper investigates the impact of roads and habitat fragmentation on red pandas using GPS telemetry and spatial analysis, directly linking transport infrastructure to biodiversity connectivity.",analytical,regional,empirical,transport_to_ecosystem,yes,Road density is analyzed as a factor affecting home-range size and movement. Roads are identified as barriers.
P92,Brown G.S.; DeWitt P.D.; Dawson N.; Landriault L.,Threshold responses in wildlife communities and evidence for biodiversity indicators of sustainable resource management,2021,Ecological Indicators,10.1016/j.ecolind.2021.108371,Article,accepted,"The study uses wildlife community responses to assess impacts of forest harvest and roads, identifying thresholds and indicators for sustainable resource management, which relates transport infrastructure to biodiversity.",analytical,regional,modeling,transport_to_ecosystem,partial,"Roads are mentioned as a disturbance factor affecting wildlife communities. The focus is broader than just connectivity, but roads' impact on habitat is assessed."
P93,Park B.-J.; Heo T.-I.; Cheon K.-I.,"Vegetation Structure and Habitat Characterization: An Ecological Basis for the Conservation of the Korean Endemic Plant, Taihyun’s Abelia (Zabelia tyaihyonii (Nakai) Hisauti & H.Hara, 1951; Caprifoliaceae)",2025,Forests,10.3390/f16071042,Article,rejected,"While the paper discusses habitat connectivity and disturbances, it does not specifically link these to road or transport infrastructure. Urbanization and disturbance are mentioned, but not roads as a primary factor.",unclear,local,modeling,unclear,yes,"The paper mentions 'urbanization and disturbance' as factors, but not roads specifically. Habitat connectivity is assessed using the InVEST model."
P94,Chamberland L.; Campos M.; Corrêa M.; Pinto J.; Cornel A.J.; Viegas J.; Lanzaro G.C.,Larval habitat suitability and landscape genetics of the mosquito Anopheles coluzzii on São Tomé and Príncipe islands,2025,Landscape Ecology,10.1007/s10980-025-02059-3,Article,accepted,"This study models mosquito larval habitat suitability and uses circuit theory to assess functional connectivity, identifying roads as a factor promoting gene flow and elevation as restricting it, thus linking infrastructure to ecological connectivity.",analytical,regional,modeling,bidirectional,yes,"Roads are identified as promoting gene flow, and elevation as restricting it, in the context of mosquito connectivity. This is a bidirectional interaction where landscape features (including roads) influence gene flow, and mosquito distribution (ecosystem) is modeled."
P95,Bouhenni A.; Mostefai N.; Eddine A.; Bentabet K.,"EFFECTS OF HUMAN ACTIVITIES AND ENVIRONMENTAL VARIABLES ON THE DISTRIBUTION OF THE CUVIER’S GAZELLE (GAZELLA CUVIERI) IN THE SAÏDA REGION, NORTHWESTERN ALGERIA",2026,Applied Ecology and Environmental Research,10.15666/aeer/2401_17231736,Article,accepted,"The paper examines the influence of anthropogenic factors, including paved roads, on the distribution of Cuvier's gazelle and recommends prioritizing habitat connectivity and reducing human pressure, directly linking roads to ecosystem connectivity.",analytical,regional,empirical,transport_to_ecosystem,yes,Distance from paved roads is a favorable factor for gazelle distribution. Habitat connectivity and biological corridors are discussed.
P96,Hamer A.J.,"A multi-scale, multi-species approach highlights the importance of urban greenspace and pond design for amphibian communities",2022,Urban Ecosystems,10.1007/s11252-021-01162-y,Article,accepted,"The study investigates the impact of urbanisation, including potential movement barriers like roads, on amphibian occupancy in ponds, assessing the role of greenspace and connectivity at multiple spatial scales.",analytical,regional,empirical,transport_to_ecosystem,yes,"Roads are mentioned as potential movement barriers, and 'accessible greenspace' is used as a measure that combines barriers and greenspace amount. The focus is on how urbanisation and its components (including roads) affect connectivity for amphibians."
P97,Malaney J.L.; Wilford C.R.; Woods J.T.; Christman B.L.; Jennings R.D.; Chambers C.L.; Zahratka J.L.; Liphardt S.W.; Demboski J.R.; Cook J.A.,Wagering with an incomplete deck—refining conservation plans for the New Mexico Meadow Jumping Mouse (Zapus luteus luteus),2023,Journal of Mammalogy,10.1093/jmammal/gyad049,Article,rejected,"The paper focuses on species distribution modeling, climate change, and habitat degradation for the New Mexico Meadow Jumping Mouse, but does not specifically mention or analyze the impact of road or transport infrastructure.",unclear,regional,modeling,unclear,partial,"Habitat degradation is mentioned, but not specifically linked to roads. Connectivity is discussed in terms of phylogroups and potential distributions."
P98,Moffat D.; White I.; Bega S.; Aburrow K.,Structural re-design of the Animex Wildlife Bridge for the Hazel Dormouse (Muscardinus avellanarius): lessons learnt from two connectivity mitigation case studies in the UK,2022,Folia Primatologica,10.1163/14219980-20211107,Article,accepted,"This paper details the design and implementation of arboreal bridges to mitigate habitat fragmentation caused by linear infrastructure like roads for the Hazel Dormouse, directly addressing the link between transport infrastructure and biodiversity connectivity.",analytical,local,mixed,transport_to_ecosystem,yes,Focuses on mitigation structures (arboreal bridges) for roads to maintain connectivity for arboreal mammals.
P99,Bizhanova N.; Grachev A.; Rametov N.; Baidavletov Y.; Saparbayev S.; Bespalov M.; Bespalov S.; Kumayeva I.; Toishibekov Y.; Khamchukova A.; Grachev Y.,Railway and Road Infrastructure in Saiga Antelope Range in Kazakhstan,2025,Diversity,10.3390/d17060431,Article,accepted,"The study assesses the impact of railway and road infrastructure on saiga antelope range and migration, quantifying infrastructure densities and identifying critical barriers, directly linking transport infrastructure to habitat fragmentation and connectivity.",analytical,supraregional,empirical,transport_to_ecosystem,yes,Quantifies infrastructure densities and identifies critical barriers to saiga migration. Roads and railways are shown to negatively impact connectivity and range.
P100,Schroer S.; Austen K.; Moczek N.; Kalinkat G.; Jechow A.; Heller S.; Reinhard J.; Dehn S.; Wuthenow C.I.; Post-Stapelfeldt M.; van Grunsven R.H.A.; Vega C.P.; Schumacher H.; Kaanaa L.; Saathoff B.; Völker S.; Hölker F.,Towards insect-friendly road lighting—A transdisciplinary multi-stakeholder approach involving citizen scientists,2021,Insects,10.3390/insects12121117,Article,accepted,"This project aims to develop insect-friendly road lighting to reduce insect attraction and habitat fragmentation caused by roadway illumination, directly linking road infrastructure to ecosystem impacts and connectivity.",analytical,local,mixed,transport_to_ecosystem,yes,Focuses on the impact of road lighting on insects and habitat fragmentation. It's a transdisciplinary approach involving citizen science.
P101,de Oliveira Ferronato B.; Hoefer A.M.; Booksmythe I.; Ubrihien R.; Georges A.,City dwellers: habitat connectivity and demographic responses of a semi-aquatic turtle in Australia,2024,Urban Ecosystems,10.1007/s11252-024-01583-5,Article,accepted,The study investigates the impact of urbanization and road networks on habitat connectivity and demographic responses of a turtle species. It directly links road networks to habitat fragmentation and species movement.,analytical,regional,empirical,transport_to_ecosystem,yes,Focuses on how road networks influence aquatic habitat connectivity and turtle movement within an urbanized landscape.
P102,McVey I.; Michalek A.; Mahoney T.; Husic A.,Urbanization as a limiter and catalyst of watershed-scale sediment transport: Insights from probabilistic connectivity modeling,2023,Science of the Total Environment,10.1016/j.scitotenv.2023.165093,Article,accepted,"The paper models the impact of urbanization, including road drainage networks, on watershed-scale sediment transport and connectivity. It explicitly links urban infrastructure to changes in ecological connectivity (sediment transport pathways).",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Uses probabilistic connectivity modeling to assess how urbanization and road networks affect sediment transport connectivity.
P103,Liu Y.; Liu Z.; Zhang X.,The interactions between road networks and ecological corridors: A novel dual-network method,2026,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104448,Article,accepted,"This paper develops a novel dual-network method to analyze the interactions between road networks and ecological corridors, directly addressing the conflict and correlation between infrastructure and connectivity.",strong_coupling,regional,modeling,bidirectional,yes,Introduces a dual-network framework to analyze interactions between road and ecological corridor networks.
P104,Grabow M.; Louvrier J.L.P.; Planillo A.; Kiefer S.; Drenske S.; Börner K.; Stillfried M.; Hagen R.; Kimmig S.; Straka T.M.; Kramer-Schadt S.,Data-integration of opportunistic species observations into hierarchical modeling frameworks improves spatial predictions for urban red squirrels,2022,Frontiers in Ecology and Evolution,10.3389/fevo.2022.881247,Article,accepted,"The study uses species distribution models and Circuitscape to delineate movement corridors for red squirrels in an urban area, explicitly linking habitat fragmentation due to urbanization and planning road mortality mitigation measures.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Models movement corridors and uses results for road mortality mitigation planning in an urban environment.
